MSA,Year,Primary City in MSA,Primary State in MSA,Total Year-Round Beds (ES+TH)
"Phoenix-Mesa-Chandler, AZ MSA",2011,Phoenix,AZ,5125
"Sacramento-Roseville-Folsom, CA MSA",2008,Sacramento,CA,1571
"San Diego-Chula Vista-Carlsbad, CA MSA",2016,San Diego,CA,4377
"Orlando-Kissimmee-Sanford, FL MSA",2013,Orlando,FL,2848
"Raleigh-Cary, NC MSA",2020,Raleigh,NC,1139
"Las Vegas-Henderson-Paradise, NV MSA",2015,Las Vegas,NV,3278
"Houston-The Woodlands-Sugar Land, TX MSA",2014,Houston,TX,3690
"Tampa-St Petersburg-Clearwater, FL MSA",2016,Tampa,FL,3348
"Sacramento-Roseville-Folsom, CA MSA",2015,Sacramento,CA,1564
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2014,Philadelphia,PA,11257
"Birmingham-Hoover, AL MSA",2017,Birmingham,AL,952
"Fresno, CA MSA",2015,Fresno,CA,832
"Portland-Vancouver-Hillsboro, OR-WA MSA",2013,Portland,OR,3347
"Detroit-Warren-Dearborn, MI MSA",2011,Detroit,MI,4090
"Detroit-Warren-Dearborn, MI MSA",2009,Detroit,MI,4229
"Kansas City, MO-KS MSA",2011,Kansas City,KS,203
"Kansas City, MO-KS MSA",2013,Kansas City,KS,230
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2014,Miami,FL,6460
"Houston-The Woodlands-Sugar Land, TX MSA",2009,Houston,TX,4257
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2019,Nashville,TN,1526
"Orlando-Kissimmee-Sanford, FL MSA",2021,Orlando,FL,1964
"Baltimore-Columbia-Towson, MD MSA",2010,Baltimore,MD,2787
"Columbus, OH MSA",2011,Columbus,OH,942
"Baltimore-Columbia-Towson, MD MSA",2016,Baltimore,MD,3153
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2013,Virginia Beach,VA,1374
"Detroit-Warren-Dearborn, MI MSA",2008,Detroit,MI,4371
"Baltimore-Columbia-Towson, MD MSA",2007,Baltimore,MD,2561
"Indianapolis-Carmel-Anderson, IN MSA",2009,Indianapolis,IN,2278
"Las Vegas-Henderson-Paradise, NV MSA",2013,Las Vegas,NV,2874
"Milwaukee-Waukesha, WI MSA",2019,Milwaukee,WI,902
"Providence-Warwick, RI-MA MSA",2010,Providence,MA,1619
"Louisville/Jefferson County, KY-IN MSA",2018,Louisville,KY,718
"Los Angeles-Long Beach-Anaheim, CA MSA",2007,Los Angeles,CA,18027
"Seattle-Tacoma-Bellevue, WA MSA",2010,Seattle,WA,9929
"Raleigh-Cary, NC MSA",2011,Raleigh,NC,1643
"Denver-Aurora-Lakewood, CO MSA",2014,Denver,CO,5651
"New York-Newark-Jersey City, NY-NJ-PA MSA",2013,New York,NY,73530
"San Antonio-New Braunfels, TX MSA",2008,San Antonio,TX,1367
"Tampa-St Petersburg-Clearwater, FL MSA",2014,Tampa,FL,3361
"Baltimore-Columbia-Towson, MD MSA",2008,Baltimore,MD,2418
"Raleigh-Cary, NC MSA",2012,Raleigh,NC,1776
"St. Louis, MO-IL MSA",2018,St. Louis,MO,1315
"Memphis, TN-MS-AR MSA",2013,Memphis,TN,1995
"Detroit-Warren-Dearborn, MI MSA",2021,Detroit,MI,2099
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2009,Washington,DC,8842
"Boston-Cambridge-Newton, MA-NH MSA",2011,Boston,MA,5899
"Kansas City, MO-KS MSA",2018,Kansas City,KS,159
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2020,Chicago,IL,6322
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2010,Miami,FL,6613
"Phoenix-Mesa-Chandler, AZ MSA",2010,Phoenix,AZ,5227
"Oklahoma City, OK MSA",2020,Oklahoma City,OK,1172
"San Jose-Sunnyvale-Santa Clara, CA MSA",2022,San Jose,CA,2311
"San Francisco-Oakland-Berkeley, CA MSA",2009,San Francisco,CA,5765
"Boston-Cambridge-Newton, MA-NH MSA",2012,Boston,MA,6090
"Buffalo-Cheektowaga, NY MSA",2020,Buffalo,NY,909
"Las Vegas-Henderson-Paradise, NV MSA",2019,Las Vegas,NV,1884
"Indianapolis-Carmel-Anderson, IN MSA",2007,Indianapolis,IN,2162
"Indianapolis-Carmel-Anderson, IN MSA",2011,Indianapolis,IN,1869
"Sacramento-Roseville-Folsom, CA MSA",2020,Sacramento,CA,1783
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2019,Virginia Beach,VA,1090
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2020,Atlanta,GA,3205
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2022,Miami,FL,4791
"Austin-Round Rock-Georgetown, TX MSA",2019,Austin,TX,1184
"New York-Newark-Jersey City, NY-NJ-PA MSA",2019,New York,NY,87724
"Providence-Warwick, RI-MA MSA",2008,Providence,MA,1601
"Birmingham-Hoover, AL MSA",2022,Birmingham,AL,636
"Providence-Warwick, RI-MA MSA",2007,Providence,MA,1834
"Portland-Vancouver-Hillsboro, OR-WA MSA",2015,Portland,OR,2373
"Boston-Cambridge-Newton, MA-NH MSA",2007,Boston,MA,5597
"Kansas City, MO-KS MSA",2010,Kansas City,KS,176
"Detroit-Warren-Dearborn, MI MSA",2014,Detroit,MI,3412
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2008,Nashville,TN,1501
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2016,Nashville,TN,2166
"Sacramento-Roseville-Folsom, CA MSA",2021,Sacramento,CA,2441
"Salt Lake City, UT MSA",2008,Salt Lake City,UT,1758
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2018,Miami,FL,4786
"Louisville/Jefferson County, KY-IN MSA",2011,Louisville,KY,1380
"Baltimore-Columbia-Towson, MD MSA",2013,Baltimore,MD,2835
"Birmingham-Hoover, AL MSA",2016,Birmingham,AL,1079
"Milwaukee-Waukesha, WI MSA",2009,Milwaukee,WI,1459
"Los Angeles-Long Beach-Anaheim, CA MSA",2012,Los Angeles,CA,16871
"San Antonio-New Braunfels, TX MSA",2022,San Antonio,TX,2699
"Buffalo-Cheektowaga, NY MSA",2013,Buffalo,NY,1131
"Buffalo-Cheektowaga, NY MSA",2008,Buffalo,NY,952
"Sacramento-Roseville-Folsom, CA MSA",2009,Sacramento,CA,1612
"Los Angeles-Long Beach-Anaheim, CA MSA",2013,Los Angeles,CA,15961
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2013,Atlanta,GA,4111
"Los Angeles-Long Beach-Anaheim, CA MSA",2021,Los Angeles,CA,25997
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2009,Miami,FL,6403
"Milwaukee-Waukesha, WI MSA",2011,Milwaukee,WI,1588
"Charlotte-Concord-Gastonia, NC-SC MSA",2007,Charlotte,NC,1550
"Oklahoma City, OK MSA",2018,Oklahoma City,OK,1129
"Columbus, OH MSA",2016,Columbus,OH,1215
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2013,Nashville,TN,1663
"Charlotte-Concord-Gastonia, NC-SC MSA",2010,Charlotte,NC,1986
"Portland-Vancouver-Hillsboro, OR-WA MSA",2010,Portland,OR,3520
"Riverside-San Bernardino-Ontario, CA MSA",2019,Riverside,CA,1502
"Richmond, VA MSA",2012,Richmond,VA,896
"Louisville/Jefferson County, KY-IN MSA",2016,Louisville,KY,979
"Seattle-Tacoma-Bellevue, WA MSA",2011,Seattle,WA,10149
"Boston-Cambridge-Newton, MA-NH MSA",2015,Boston,MA,6787
"Cincinnati, OH-KY-IN MSA",2015,Cincinnati,OH,942
"San Francisco-Oakland-Berkeley, CA MSA",2016,San Francisco,CA,4973
"Baltimore-Columbia-Towson, MD MSA",2012,Baltimore,MD,2595
"San Francisco-Oakland-Berkeley, CA MSA",2014,San Francisco,CA,4895
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2012,Minneapolis,MN,4319
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2009,Philadelphia,PA,11359
"Charlotte-Concord-Gastonia, NC-SC MSA",2018,Charlotte,NC,1611
"Indianapolis-Carmel-Anderson, IN MSA",2021,Indianapolis,IN,1527
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2018,Minneapolis,MN,4216
"Milwaukee-Waukesha, WI MSA",2017,Milwaukee,WI,1036
"St. Louis, MO-IL MSA",2009,St. Louis,MO,1902
"Denver-Aurora-Lakewood, CO MSA",2022,Denver,CO,6062
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2022,Atlanta,GA,2559
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2021,Minneapolis,MN,5062
"Sacramento-Roseville-Folsom, CA MSA",2022,Sacramento,CA,2561
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2015,Miami,FL,6201
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2019,Washington,DC,7691
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2015,Atlanta,GA,4616
"Cleveland-Elyria, OH MSA",2021,Cleveland,OH,1149
"Milwaukee-Waukesha, WI MSA",2021,Milwaukee,WI,1077
"Sacramento-Roseville-Folsom, CA MSA",2016,Sacramento,CA,1435
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2017,Washington,DC,9021
"Milwaukee-Waukesha, WI MSA",2016,Milwaukee,WI,1457
"Baltimore-Columbia-Towson, MD MSA",2015,Baltimore,MD,2909
"San Diego-Chula Vista-Carlsbad, CA MSA",2009,San Diego,CA,2298
"Raleigh-Cary, NC MSA",2017,Raleigh,NC,1146
"Tampa-St Petersburg-Clearwater, FL MSA",2020,Tampa,FL,2905
"Fresno, CA MSA",2017,Fresno,CA,536
"Milwaukee-Waukesha, WI MSA",2020,Milwaukee,WI,861
"San Diego-Chula Vista-Carlsbad, CA MSA",2018,San Diego,CA,3868
"Columbus, OH MSA",2018,Columbus,OH,1204
"San Francisco-Oakland-Berkeley, CA MSA",2011,San Francisco,CA,5596
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2015,Chicago,IL,6710
"Columbus, OH MSA",2014,Columbus,OH,897
"Dallas-Fort Worth-Arlington, TX MSA",2020,Dallas,TX,4843
"Las Vegas-Henderson-Paradise, NV MSA",2016,Las Vegas,NV,2426
"Louisville/Jefferson County, KY-IN MSA",2009,Louisville,KY,1457
"Sacramento-Roseville-Folsom, CA MSA",2014,Sacramento,CA,1557
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2018,Washington,DC,8291
"Charlotte-Concord-Gastonia, NC-SC MSA",2011,Charlotte,NC,2523
"San Francisco-Oakland-Berkeley, CA MSA",2018,San Francisco,CA,4844
"San Francisco-Oakland-Berkeley, CA MSA",2022,San Francisco,CA,7007
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2022,Chicago,IL,6595
"Jacksonville, FL MSA",2011,Jacksonville,FL,1747
"Richmond, VA MSA",2018,Richmond,VA,465
"Columbus, OH MSA",2007,Columbus,OH,1249
"Salt Lake City, UT MSA",2015,Salt Lake City,UT,1796
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2009,Nashville,TN,1347
"Jacksonville, FL MSA",2020,Jacksonville,FL,1133
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2007,Virginia Beach,VA,1293
"Portland-Vancouver-Hillsboro, OR-WA MSA",2016,Portland,OR,2533
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2007,Nashville,TN,1360
"St. Louis, MO-IL MSA",2008,St. Louis,MO,1846
"Cincinnati, OH-KY-IN MSA",2016,Cincinnati,OH,1035
"Cincinnati, OH-KY-IN MSA",2019,Cincinnati,OH,899
"Riverside-San Bernardino-Ontario, CA MSA",2020,Riverside,CA,1600
"Raleigh-Cary, NC MSA",2013,Raleigh,NC,1866
"Denver-Aurora-Lakewood, CO MSA",2015,Denver,CO,4812
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2011,Philadelphia,PA,11695
"San Francisco-Oakland-Berkeley, CA MSA",2013,San Francisco,CA,5480
"Dallas-Fort Worth-Arlington, TX MSA",2018,Dallas,TX,4793
"Sacramento-Roseville-Folsom, CA MSA",2012,Sacramento,CA,1660
"San Antonio-New Braunfels, TX MSA",2013,San Antonio,TX,2043
"Birmingham-Hoover, AL MSA",2015,Birmingham,AL,1020
"Cleveland-Elyria, OH MSA",2018,Cleveland,OH,1530
"Richmond, VA MSA",2008,Richmond,VA,944
"Salt Lake City, UT MSA",2017,Salt Lake City,UT,1711
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2008,Virginia Beach,VA,1190
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2020,Virginia Beach,VA,1009
"Indianapolis-Carmel-Anderson, IN MSA",2019,Indianapolis,IN,1413
"Jacksonville, FL MSA",2019,Jacksonville,FL,1388
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2020,Nashville,TN,1494
"Sacramento-Roseville-Folsom, CA MSA",2010,Sacramento,CA,1727
"Dallas-Fort Worth-Arlington, TX MSA",2021,Dallas,TX,4232
"San Jose-Sunnyvale-Santa Clara, CA MSA",2012,San Jose,CA,1784
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2007,Miami,FL,6782
"Raleigh-Cary, NC MSA",2022,Raleigh,NC,929
"Memphis, TN-MS-AR MSA",2020,Memphis,TN,1066
"Buffalo-Cheektowaga, NY MSA",2021,Buffalo,NY,941
"Cleveland-Elyria, OH MSA",2016,Cleveland,OH,1564
"Salt Lake City, UT MSA",2010,Salt Lake City,UT,1578
"Salt Lake City, UT MSA",2011,Salt Lake City,UT,1697
"Memphis, TN-MS-AR MSA",2018,Memphis,TN,1103
"Riverside-San Bernardino-Ontario, CA MSA",2009,Riverside,CA,2338
"Portland-Vancouver-Hillsboro, OR-WA MSA",2014,Portland,OR,2609
"Pittsburgh, PA MSA",2022,Pittsburgh,PA,800
"Columbus, OH MSA",2020,Columbus,OH,1296
"Phoenix-Mesa-Chandler, AZ MSA",2013,Phoenix,AZ,5475
"Las Vegas-Henderson-Paradise, NV MSA",2011,Las Vegas,NV,3753
"Boston-Cambridge-Newton, MA-NH MSA",2008,Boston,MA,5603
"San Jose-Sunnyvale-Santa Clara, CA MSA",2009,San Jose,CA,1904
"Portland-Vancouver-Hillsboro, OR-WA MSA",2007,Portland,OR,8103
"San Jose-Sunnyvale-Santa Clara, CA MSA",2019,San Jose,CA,1744
"San Francisco-Oakland-Berkeley, CA MSA",2008,San Francisco,CA,5547
"Houston-The Woodlands-Sugar Land, TX MSA",2016,Houston,TX,3401
"Louisville/Jefferson County, KY-IN MSA",2010,Louisville,KY,1423
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2019,Minneapolis,MN,4083
"Buffalo-Cheektowaga, NY MSA",2017,Buffalo,NY,1067
"Salt Lake City, UT MSA",2020,Salt Lake City,UT,1712
"Denver-Aurora-Lakewood, CO MSA",2020,Denver,CO,5472
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2016,Minneapolis,MN,4315
"Kansas City, MO-KS MSA",2017,Kansas City,KS,161
"Boston-Cambridge-Newton, MA-NH MSA",2017,Boston,MA,6278
"Richmond, VA MSA",2016,Richmond,VA,644
"Oklahoma City, OK MSA",2011,Oklahoma City,OK,1042
"Detroit-Warren-Dearborn, MI MSA",2015,Detroit,MI,3358
"Providence-Warwick, RI-MA MSA",2015,Providence,MA,1595
"San Francisco-Oakland-Berkeley, CA MSA",2017,San Francisco,CA,4894
"Memphis, TN-MS-AR MSA",2014,Memphis,TN,1705
"Riverside-San Bernardino-Ontario, CA MSA",2010,Riverside,CA,2362
"Milwaukee-Waukesha, WI MSA",2013,Milwaukee,WI,1510
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2021,Nashville,TN,2054
"Denver-Aurora-Lakewood, CO MSA",2019,Denver,CO,5143
"Sacramento-Roseville-Folsom, CA MSA",2011,Sacramento,CA,1551
"Las Vegas-Henderson-Paradise, NV MSA",2008,Las Vegas,NV,4231
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2012,Nashville,TN,1561
"Houston-The Woodlands-Sugar Land, TX MSA",2020,Houston,TX,2685
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2016,Miami,FL,5858
"Charlotte-Concord-Gastonia, NC-SC MSA",2014,Charlotte,NC,1948
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2007,Atlanta,GA,4806
"Louisville/Jefferson County, KY-IN MSA",2013,Louisville,KY,1400
"Louisville/Jefferson County, KY-IN MSA",2020,Louisville,KY,938
"Providence-Warwick, RI-MA MSA",2016,Providence,MA,1586
"San Antonio-New Braunfels, TX MSA",2007,San Antonio,TX,1344
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2009,Chicago,IL,7387
"Boston-Cambridge-Newton, MA-NH MSA",2019,Boston,MA,6466
"Raleigh-Cary, NC MSA",2007,Raleigh,NC,2042
"Riverside-San Bernardino-Ontario, CA MSA",2017,Riverside,CA,1574
"Richmond, VA MSA",2019,Richmond,VA,415
"Columbus, OH MSA",2022,Columbus,OH,1478
"Los Angeles-Long Beach-Anaheim, CA MSA",2016,Los Angeles,CA,15770
"Baltimore-Columbia-Towson, MD MSA",2022,Baltimore,MD,3041
"Riverside-San Bernardino-Ontario, CA MSA",2008,Riverside,CA,2278
"Baltimore-Columbia-Towson, MD MSA",2018,Baltimore,MD,2586
"Memphis, TN-MS-AR MSA",2011,Memphis,TN,1865
"Portland-Vancouver-Hillsboro, OR-WA MSA",2022,Portland,OR,4027
"Kansas City, MO-KS MSA",2014,Kansas City,KS,231
"New York-Newark-Jersey City, NY-NJ-PA MSA",2020,New York,NY,87535
"Birmingham-Hoover, AL MSA",2020,Birmingham,AL,854
"Fresno, CA MSA",2018,Fresno,CA,547
"Pittsburgh, PA MSA",2011,Pittsburgh,PA,1446
"Jacksonville, FL MSA",2012,Jacksonville,FL,1700
"Columbus, OH MSA",2021,Columbus,OH,1457
"Louisville/Jefferson County, KY-IN MSA",2017,Louisville,KY,917
"Charlotte-Concord-Gastonia, NC-SC MSA",2019,Charlotte,NC,1703
"Detroit-Warren-Dearborn, MI MSA",2013,Detroit,MI,3742
"Charlotte-Concord-Gastonia, NC-SC MSA",2021,Charlotte,NC,1795
"Cleveland-Elyria, OH MSA",2019,Cleveland,OH,1496
"Seattle-Tacoma-Bellevue, WA MSA",2015,Seattle,WA,7957
"Seattle-Tacoma-Bellevue, WA MSA",2009,Seattle,WA,9907
"Jacksonville, FL MSA",2022,Jacksonville,FL,1348
"San Diego-Chula Vista-Carlsbad, CA MSA",2021,San Diego,CA,5438
"Portland-Vancouver-Hillsboro, OR-WA MSA",2008,Portland,OR,4500
"Pittsburgh, PA MSA",2018,Pittsburgh,PA,695
"Providence-Warwick, RI-MA MSA",2019,Providence,MA,1361
"Columbus, OH MSA",2008,Columbus,OH,935
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2009,Virginia Beach,VA,1212
"Phoenix-Mesa-Chandler, AZ MSA",2017,Phoenix,AZ,3508
"Austin-Round Rock-Georgetown, TX MSA",2008,Austin,TX,1285
"Baltimore-Columbia-Towson, MD MSA",2014,Baltimore,MD,2834
"Portland-Vancouver-Hillsboro, OR-WA MSA",2018,Portland,OR,2944
"New York-Newark-Jersey City, NY-NJ-PA MSA",2016,New York,NY,83033
"Buffalo-Cheektowaga, NY MSA",2014,Buffalo,NY,1054
"Buffalo-Cheektowaga, NY MSA",2022,Buffalo,NY,963
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2009,Atlanta,GA,5254
"Las Vegas-Henderson-Paradise, NV MSA",2012,Las Vegas,NV,3280
"Fresno, CA MSA",2011,Fresno,CA,1662
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2016,Virginia Beach,VA,1225
"Raleigh-Cary, NC MSA",2016,Raleigh,NC,1166
"Austin-Round Rock-Georgetown, TX MSA",2022,Austin,TX,1125
"Phoenix-Mesa-Chandler, AZ MSA",2012,Phoenix,AZ,5616
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2021,Washington,DC,8026
"Dallas-Fort Worth-Arlington, TX MSA",2014,Dallas,TX,6089
"Salt Lake City, UT MSA",2016,Salt Lake City,UT,1517
"Tampa-St Petersburg-Clearwater, FL MSA",2019,Tampa,FL,2948
"Las Vegas-Henderson-Paradise, NV MSA",2021,Las Vegas,NV,2577
"Providence-Warwick, RI-MA MSA",2022,Providence,MA,1259
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2013,Washington,DC,8760
"Dallas-Fort Worth-Arlington, TX MSA",2010,Dallas,TX,6549
"Kansas City, MO-KS MSA",2016,Kansas City,KS,1985
"Sacramento-Roseville-Folsom, CA MSA",2013,Sacramento,CA,1554
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2017,Nashville,TN,1783
"Dallas-Fort Worth-Arlington, TX MSA",2008,Dallas,TX,6192
"Indianapolis-Carmel-Anderson, IN MSA",2008,Indianapolis,IN,2449
"Raleigh-Cary, NC MSA",2018,Raleigh,NC,1139
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2018,Virginia Beach,VA,1120
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2017,Minneapolis,MN,4381
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2014,Chicago,IL,7524
"Riverside-San Bernardino-Ontario, CA MSA",2011,Riverside,CA,2548
"St. Louis, MO-IL MSA",2017,St. Louis,MO,1749
"Boston-Cambridge-Newton, MA-NH MSA",2018,Boston,MA,6324
"Sacramento-Roseville-Folsom, CA MSA",2018,Sacramento,CA,1493
"Austin-Round Rock-Georgetown, TX MSA",2016,Austin,TX,1255
"Jacksonville, FL MSA",2016,Jacksonville,FL,1723
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2021,Chicago,IL,6146
"Jacksonville, FL MSA",2017,Jacksonville,FL,1568
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2010,Washington,DC,8778
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2012,Miami,FL,6463
"Riverside-San Bernardino-Ontario, CA MSA",2012,Riverside,CA,2540
"Memphis, TN-MS-AR MSA",2019,Memphis,TN,1415
"Houston-The Woodlands-Sugar Land, TX MSA",2022,Houston,TX,3056
"Cleveland-Elyria, OH MSA",2020,Cleveland,OH,1402
"Baltimore-Columbia-Towson, MD MSA",2021,Baltimore,MD,2852
"Salt Lake City, UT MSA",2009,Salt Lake City,UT,1799
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2012,Philadelphia,PA,11245
"San Diego-Chula Vista-Carlsbad, CA MSA",2010,San Diego,CA,2319
"Las Vegas-Henderson-Paradise, NV MSA",2009,Las Vegas,NV,7459
"St. Louis, MO-IL MSA",2013,St. Louis,MO,1751
"New York-Newark-Jersey City, NY-NJ-PA MSA",2015,New York,NY,84819
"Columbus, OH MSA",2012,Columbus,OH,952
"Milwaukee-Waukesha, WI MSA",2018,Milwaukee,WI,892
"Milwaukee-Waukesha, WI MSA",2022,Milwaukee,WI,1083
"Richmond, VA MSA",2022,Richmond,VA,484
"Orlando-Kissimmee-Sanford, FL MSA",2010,Orlando,FL,2483
"Richmond, VA MSA",2020,Richmond,VA,370
"Pittsburgh, PA MSA",2008,Pittsburgh,PA,1431
"Portland-Vancouver-Hillsboro, OR-WA MSA",2009,Portland,OR,3640
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2015,Minneapolis,MN,4390
"New York-Newark-Jersey City, NY-NJ-PA MSA",2007,New York,NY,56310
"New York-Newark-Jersey City, NY-NJ-PA MSA",2008,New York,NY,55331
"Chicago-Naperville-Elgin, IL-IN-WI MSA",2018,Chicago,IL,6250
"Fresno, CA MSA",2008,Fresno,CA,2081
"Dallas-Fort Worth-Arlington, TX MSA",2009,Dallas,TX,6566
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2008,Philadelphia,PA,12063
"St. Louis, MO-IL MSA",2020,St. Louis,MO,1385
"Los Angeles-Long Beach-Anaheim, CA MSA",2009,Los Angeles,CA,20263
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2011,Virginia Beach,VA,1509
"Memphis, TN-MS-AR MSA",2015,Memphis,TN,1626
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2007,Washington,DC,7682
"Houston-The Woodlands-Sugar Land, TX MSA",2017,Houston,TX,3192
"Houston-The Woodlands-Sugar Land, TX MSA",2010,Houston,TX,4068
"Tampa-St Petersburg-Clearwater, FL MSA",2022,Tampa,FL,2612
"Salt Lake City, UT MSA",2007,Salt Lake City,UT,1846
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2016,Philadelphia,PA,11187
"Austin-Round Rock-Georgetown, TX MSA",2018,Austin,TX,1116
"Riverside-San Bernardino-Ontario, CA MSA",2015,Riverside,CA,2160
"San Francisco-Oakland-Berkeley, CA MSA",2015,San Francisco,CA,4863
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2014,Atlanta,GA,4728
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2008,Washington,DC,8291
"Phoenix-Mesa-Chandler, AZ MSA",2009,Phoenix,AZ,5295
"Raleigh-Cary, NC MSA",2008,Raleigh,NC,2037
"Dallas-Fort Worth-Arlington, TX MSA",2019,Dallas,TX,4910
"Austin-Round Rock-Georgetown, TX MSA",2021,Austin,TX,915
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2013,Philadelphia,PA,11161
"Cleveland-Elyria, OH MSA",2015,Cleveland,OH,1818
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2013,Minneapolis,MN,4448
"Fresno, CA MSA",2012,Fresno,CA,1012
"Portland-Vancouver-Hillsboro, OR-WA MSA",2017,Portland,OR,3249
"Phoenix-Mesa-Chandler, AZ MSA",2015,Phoenix,AZ,4317
"San Antonio-New Braunfels, TX MSA",2012,San Antonio,TX,2228
"Tampa-St Petersburg-Clearwater, FL MSA",2015,Tampa,FL,3754
"Phoenix-Mesa-Chandler, AZ MSA",2018,Phoenix,AZ,4216
"Columbus, OH MSA",2013,Columbus,OH,958
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2014,Washington,DC,9200
"Cincinnati, OH-KY-IN MSA",2007,Cincinnati,OH,1053
"Buffalo-Cheektowaga, NY MSA",2015,Buffalo,NY,1030
"Memphis, TN-MS-AR MSA",2009,Memphis,TN,1617
"Tampa-St Petersburg-Clearwater, FL MSA",2018,Tampa,FL,3172
"San Antonio-New Braunfels, TX MSA",2016,San Antonio,TX,2228
"Birmingham-Hoover, AL MSA",2010,Birmingham,AL,1159
"Jacksonville, FL MSA",2009,Jacksonville,FL,2407
"Buffalo-Cheektowaga, NY MSA",2011,Buffalo,NY,913
"Portland-Vancouver-Hillsboro, OR-WA MSA",2019,Portland,OR,2826
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2017,Philadelphia,PA,10176
"Riverside-San Bernardino-Ontario, CA MSA",2022,Riverside,CA,2727
"Raleigh-Cary, NC MSA",2021,Raleigh,NC,949
"San Francisco-Oakland-Berkeley, CA MSA",2012,San Francisco,CA,5868
"Kansas City, MO-KS MSA",2009,Kansas City,KS,176
"Dallas-Fort Worth-Arlington, TX MSA",2016,Dallas,TX,5446
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2013,Miami,FL,6504
"San Francisco-Oakland-Berkeley, CA MSA",2021,San Francisco,CA,6299
"Denver-Aurora-Lakewood, CO MSA",2018,Denver,CO,4774
"Oklahoma City, OK MSA",2022,Oklahoma City,OK,1188
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2022,Philadelphia,PA,9198
